,date_orig_id,AWND,PRCP,SNOW,SNWD,TAVG
321,2020-01-07-PHX,19.0,0.0,0.0,0.0,142.0
322,2020-01-07-SAN,12.0,0.0,0.0,0.0,149.0
323,2020-01-07-OAK,25.0,0.0,0.0,0.0,86.0
324,2020-01-07-SFO,31.0,8.0,0.0,0.0,99.0
325,2020-01-07-SJC,20.0,0.0,0.0,0.0,86.0
326,2020-01-07-SLC,47.0,0.0,0.0,0.0,39.0
327,2020-01-07-PDX,69.0,28.0,0.0,0.0,113.0
328,2020-01-07-SEA,67.0,71.0,0.0,0.0,105.0
329,2020-01-07-IND,29.0,0.0,0.0,0.0,17.0
330,2020-01-07-RSW,30.0,0.0,0.0,0.0,114.0
331,2020-01-07-DEN,29.0,0.0,0.0,0.0,59.0
332,2020-01-07-SNA,9.0,0.0,0.0,0.0,175.0
333,2020-01-07-SMF,27.0,0.0,0.0,0.0,50.0
334,2020-01-07-BWI,21.0,107.0,38.0,0.0,28.0
335,2020-01-07-IAD,22.0,81.0,51.0,0.0,7.0
336,2020-01-07-CVG,32.0,0.0,0.0,0.0,31.0
337,2020-01-07-CMH,36.0,0.0,0.0,0.0,114.0
338,2020-01-07-PHL,26.0,20.0,0.0,0.0,36.5
339,2020-01-07-JFK,38.0,8.0,0.0,0.0,46.0
340,2020-01-07-PIT,18.0,0.0,0.0,0.0,3.0
341,2020-01-07-ORD,48.0,0.0,0.0,0.0,11.0
342,2020-01-07-DTW,43.0,8.0,13.0,0.0,14.0
343,2020-01-08-DFW,61.0,0.0,0.0,0.0,98.0
344,2020-01-08-CLE,88.0,0.0,0.0,0.0,-2.5
345,2020-01-08-MCO,43.0,0.0,0.0,0.0,154.0
346,2020-01-08-MIA,33.0,0.0,0.0,0.0,203.0
347,2020-01-08-TPA,33.0,0.0,0.0,0.0,157.0
348,2020-01-08-FLL,45.0,0.0,0.0,0.0,187.0
349,2020-01-08-MSY,31.0,0.0,0.0,0.0,126.0
350,2020-01-08-HOU,40.0,0.0,0.0,0.0,117.0
351,2020-01-08-SAT,47.0,0.0,0.0,0.0,99.0
352,2020-01-08-IAH,43.0,0.0,0.0,0.0,97.0
353,2020-01-08-RDU,27.0,0.0,0.0,0.0,54.0
354,2020-01-08-DCA,53.0,0.0,0.0,0.0,30.0
355,2020-01-08-ATL,30.0,0.0,0.0,0.0,85.0
356,2020-01-08-CLT,24.0,0.0,0.0,0.0,69.0
357,2020-01-08-BNA,18.0,0.0,0.0,0.0,78.0
358,2020-01-08-AUS,38.0,0.0,0.0,0.0,69.0
359,2020-01-08-DAL,48.0,0.0,0.0,0.0,118.0
360,2020-01-08-MCI,42.0,0.0,0.0,0.0,56.0
361,2020-01-08-STL,47.0,0.0,0.0,0.0,34.0
362,2020-01-08-LGA,80.0,0.0,0.0,0.0,25.0
363,2020-01-08-EWR,76.0,0.0,0.0,0.0,24.0
364,2020-01-08-BOS,63.0,5.0,3.0,0.0,34.0
365,2020-01-08-MKE,54.0,0.0,0.0,0.0,-61.0
366,2020-01-08-MSP,52.0,0.0,0.0,80.0,-144.0
367,2020-01-08-HNL,70.0,0.0,0.0,0.0,241.0
368,2020-01-08-LAS,60.0,0.0,0.0,0.0,36.5
369,2020-01-08-LAX,26.0,0.0,0.0,0.0,146.0
370,2020-01-08-PHX,25.0,0.0,0.0,0.0,139.0
371,2020-01-08-SAN,23.0,0.0,0.0,0.0,132.0
372,2020-01-08-OAK,28.0,0.0,0.0,0.0,108.5
373,2020-01-08-SFO,41.0,0.0,0.0,0.0,117.0
374,2020-01-08-SJC,23.0,0.0,0.0,0.0,108.5
375,2020-01-08-SLC,20.0,20.0,15.0,0.0,31.0
376,2020-01-08-PDX,21.0,81.0,0.0,0.0,82.0
377,2020-01-08-SEA,54.0,10.0,0.0,0.0,73.0
378,2020-01-08-IND,38.0,0.0,0.0,0.0,-5.0
379,2020-01-08-RSW,21.0,0.0,0.0,0.0,94.5
380,2020-01-08-DEN,52.0,0.0,0.0,0.0,75.5
381,2020-01-08-SNA,22.0,0.0,0.0,0.0,138.5
382,2020-01-08-SMF,26.0,0.0,0.0,0.0,69.5
383,2020-01-08-BWI,47.0,0.0,0.0,30.0,20.0
384,2020-01-08-IAD,42.0,0.0,0.0,50.0,6.0
385,2020-01-08-CVG,46.0,0.0,0.0,0.0,25.0
386,2020-01-08-CMH,9.0,0.0,0.0,0.0,89.0
387,2020-01-08-PHL,62.0,0.0,0.0,0.0,23.0
388,2020-01-08-JFK,93.0,0.0,0.0,0.0,26.0
389,2020-01-08-PIT,65.0,5.0,10.0,0.0,2.0
390,2020-01-08-ORD,50.0,0.0,0.0,0.0,-45.0
391,2020-01-08-DTW,51.0,13.0,15.0,30.0,-27.0
392,2020-01-09-DFW,72.0,0.0,0.0,0.0,162.0
393,2020-01-09-CLE,72.0,3.0,0.0,0.0,36.5
394,2020-01-09-MCO,43.0,0.0,0.0,0.0,164.0
395,2020-01-09-MIA,84.0,0.0,0.0,0.0,235.0
396,2020-01-09-TPA,44.0,0.0,0.0,0.0,171.0
397,2020-01-09-FLL,98.0,0.0,0.0,0.0,229.0
398,2020-01-09-MSY,55.0,0.0,0.0,0.0,163.0
399,2020-01-09-HOU,62.0,3.0,0.0,0.0,191.0
400,2020-01-09-SAT,54.0,0.0,0.0,0.0,198.0
401,2020-01-09-IAH,60.0,0.0,0.0,0.0,186.0
402,2020-01-09-RDU,27.0,0.0,0.0,0.0,49.0
403,2020-01-09-DCA,37.0,0.0,0.0,0.0,11.0
404,2020-01-09-ATL,34.0,0.0,0.0,0.0,96.0
405,2020-01-09-CLT,29.0,0.0,0.0,0.0,74.0
406,2020-01-09-BNA,59.0,0.0,0.0,0.0,88.0
407,2020-01-09-AUS,66.0,0.0,0.0,0.0,196.0
408,2020-01-09-DAL,54.0,0.0,0.0,0.0,166.0
409,2020-01-09-MCI,72.0,0.0,0.0,0.0,130.5
410,2020-01-09-STL,62.0,193.0,0.0,0.0,88.0
411,2020-01-09-LGA,49.0,0.0,0.0,0.0,-18.0
