,month,unique_carrier,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
175,1,5Y,3,0,0,0,0,0,0,14285985.0,30124140,44410125.0,0,0,0,0,0,0,30473337,61310144,91783481,2019
176,1,8C,2,0,0,0,0,0,0,23622.0,742229,765851.0,0,0,0,0,0,0,43613,1910733,1954346,2019
177,1,9E,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
178,1,9S,2,879987,2095479,3874541,0,5970020,6850007,879987.0,5970020,6850007.0,1839813,4762196,7207014,0,11969210,13809023,1839813,11969210,13809023,2019
179,1,AA,3,181805365,35379724,19744574,48979198,104103496,285908861,182280559.0,104264171,286544730.0,330993694,65177657,36092606,94494528,195764791,526758485,331867432,196062834,527930266,2019
180,1,ABX,2,229897,0,0,0,0,229897,229897.0,0,229897.0,443700,0,0,0,0,443700,443700,0,443700,2019
181,1,AS,3,55801380,0,0,1202557,1202557,57003937,55881608.0,1202557,57084165.0,114278887,0,0,2867163,2867163,117146050,114428031,2867163,117295194,2019
182,1,B6,3,55214112,0,0,15194099,15194099,70408211,55214112.0,15194099,70408211.0,107587447,0,0,29606459,29606459,137193906,107587447,29606459,137193906,2019
183,1,CP,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
184,1,DL,3,165835898,48129821,28376721,29135082,105641624,271477522,167883633.0,105823230,273706863.0,340011832,98680134,58180533,59735394,216596061,556607893,345424031,216968407,562392438,2019
185,1,EV,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
186,1,F9,3,19219538,0,0,2622943,2622943,21842481,19219538.0,2622943,21842481.0,33033803,0,0,4629668,4629668,37663471,33033803,4629668,37663471,2019
187,1,FX,3,61502329,14334224,21909780,1984964,38228968,99731297,63304927.0,39128919,102433846.0,111194000,26208000,39844000,4174000,70226000,181420000,114483000,72218000,186701000,2019
188,1,G4,3,12442727,0,0,0,0,12442727,12704100.0,79969,12784069.0,24884405,0,0,0,0,24884405,25451228,174212,25625440,2019
189,1,G7,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
190,1,GFQ,1,0,0,0,0,0,0,209031.0,149862,358893.0,0,0,0,0,0,0,525709,384656,910365,2019
191,1,GL,2,0,0,0,0,0,0,471431.0,148428,619859.0,0,0,0,0,0,0,1315825,414285,1730110,2019
192,1,HA,3,15257659,0,7346463,0,7346463,22604122,15280124.0,7346463,22626587.0,27092396,0,12857142,0,12857142,39949538,27129872,12857142,39987014,2019
193,1,KAQ,2,0,0,0,0,0,0,1444216.0,3970232,5414448.0,0,0,0,0,0,0,3030143,9034418,12064561,2019
194,1,KD,2,0,0,0,0,0,0,1404278.0,1361512,2765790.0,0,0,0,0,0,0,2693455,1751966,4445421,2019
195,1,KH,2,432202,0,0,0,0,432202,432202.0,0,432202.0,863451,0,0,0,0,863451,863451,0,863451,2019
196,1,KLQ,1,0,0,0,0,0,0,67948.0,124783,192731.0,0,0,0,0,0,0,192105,348416,540521,2019
197,1,L2,1,96124,0,0,0,0,96124,174531.0,25265,199796.0,209803,0,0,0,0,209803,425821,75490,501311,2019
198,1,M6,2,0,0,0,995280,995280,995280,513000.0,1259892,1772892.0,0,0,0,1985393,1985393,1985393,1023337,2513244,3536581,2019
199,1,MQ,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
200,1,N8,2,0,0,0,0,0,0,67058.0,730951,798009.0,0,0,0,0,0,0,225990,2182806,2408796,2019
201,1,NC,1,336228,0,0,0,0,336228,388494.0,0,388494.0,661891,0,0,0,0,661891,762275,0,762275,2019
202,1,NK,3,31236251,0,0,4626264,4626264,35862515,31236251.0,4626264,35862515.0,62051998,0,0,9190250,9190250,71242248,62051998,9190250,71242248,2019
203,1,OH,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
204,1,OO,3,8150037,0,0,0,0,8150037,8150037.0,0,8150037.0,17779528,0,0,0,0,17779528,17779528,0,17779528,2019
205,1,PFQ,1,0,0,0,0,0,0,0.0,330575,330575.0,0,0,0,0,0,0,0,640575,640575,2019
206,1,PO,3,3095682,731689,13380503,0,14112192,17207874,3095682.0,14112192,17207874.0,5600244,1626373,22917040,0,24543413,30143657,5600244,24543413,30143657,2019
207,1,QX,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
209,1,U7,2,0,0,0,0,0,0,467799.0,39870,507669.0,0,0,0,0,0,0,860549,167956,1028505,2019
