Sourcekey,WGFUPUS2,WKJUPUS2
Date,Weekly U.S. Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Kerosene-Type Jet Fuel  (Thousand Barrels per Day)
03-Mar-06,9057,1542
10-Mar-06,9106,1596
17-Mar-06,9100,1634
24-Mar-06,9054,1613
31-Mar-06,9063,1626
07-Apr-06,9297,1639
14-Apr-06,9100,1636
21-Apr-06,9012,1735
28-Apr-06,9099,1665
05-May-06,9346,1795
12-May-06,9327,1610
19-May-06,9193,1745
26-May-06,9430,1661
02-Jun-06,9367,1505
09-Jun-06,9413,1698
16-Jun-06,9429,1695
23-Jun-06,9540,1682
30-Jun-06,9645,1763
07-Jul-06,9621,1569
14-Jul-06,9569,1689
21-Jul-06,9573,1735
28-Jul-06,9639,1641
04-Aug-06,9697,1612
11-Aug-06,9530,1798
18-Aug-06,9571,1760
25-Aug-06,9610,1644
01-Sep-06,9622,1625
08-Sep-06,9368,1599
15-Sep-06,9229,1537
22-Sep-06,9287,1689
29-Sep-06,9081,1570
06-Oct-06,9242,1734
13-Oct-06,9298,1727
20-Oct-06,9511,1763
27-Oct-06,9499,1622
03-Nov-06,9256,1580
10-Nov-06,9110,1878
17-Nov-06,9149,1453
24-Nov-06,9320,1614
01-Dec-06,9477,1494
08-Dec-06,9394,1621
15-Dec-06,9491,1533
22-Dec-06,9229,1781
29-Dec-06,9247,1517
05-Jan-07,9201,1461
12-Jan-07,9060,1796
19-Jan-07,9008,1589
26-Jan-07,9090,1591
02-Feb-07,9136,1526
09-Feb-07,9061,1764
16-Feb-07,9198,1601
23-Feb-07,9121,1532
02-Mar-07,9191,1569
09-Mar-07,9158,1775
16-Mar-07,9240,1619
23-Mar-07,9250,1518
30-Mar-07,9491,1590
06-Apr-07,9472,1546
13-Apr-07,9247,1664
20-Apr-07,9163,1569
27-Apr-07,9260,1645
04-May-07,9344,1632
11-May-07,9404,1696
18-May-07,9433,1590
25-May-07,9485,1655
01-Jun-07,9495,1684
08-Jun-07,9487,1592
15-Jun-07,9591,1731
22-Jun-07,9575,1726
29-Jun-07,9557,1646
06-Jul-07,9663,1672
13-Jul-07,9710,1631
20-Jul-07,9688,1643
27-Jul-07,9662,1608
03-Aug-07,9575,1598
10-Aug-07,9572,1620
17-Aug-07,9762,1641
24-Aug-07,9626,1552
31-Aug-07,9577,1812
07-Sep-07,9393,1513
14-Sep-07,9247,1598
21-Sep-07,9235,1592
28-Sep-07,9120,1555
05-Oct-07,9200,1521
12-Oct-07,9253,1573
19-Oct-07,9373,1561
26-Oct-07,9355,1592
02-Nov-07,9367,1618
09-Nov-07,9187,1641
16-Nov-07,9222,1834
23-Nov-07,9356,1587
30-Nov-07,9266,1520
07-Dec-07,9348,1670
14-Dec-07,9287,1610
21-Dec-07,9446,1578
28-Dec-07,9286,1590
04-Jan-08,9304,1539
11-Jan-08,9116,1584
18-Jan-08,8964,1514
25-Jan-08,8940,1521
01-Feb-08,8916,1569
08-Feb-08,9020,1547
15-Feb-08,9125,1642
22-Feb-08,9045,1527
29-Feb-08,9071,1524
07-Mar-08,9131,1755
14-Mar-08,9071,1575
21-Mar-08,9116,1556
28-Mar-08,9330,1565
04-Apr-08,9286,1534
11-Apr-08,9338,1503
18-Apr-08,9215,1764
25-Apr-08,9189,1473
02-May-08,9311,1474
09-May-08,9343,1503
16-May-08,9359,1709
23-May-08,9373,1614
30-May-08,9129,1651
06-Jun-08,9411,1536
13-Jun-08,9251,1608
20-Jun-08,9334,1545
27-Jun-08,9357,1704
04-Jul-08,9347,1634
11-Jul-08,9344,1731
18-Jul-08,9342,1421
25-Jul-08,9468,1424
01-Aug-08,9484,1617
08-Aug-08,9446,1674
15-Aug-08,9423,1605
22-Aug-08,9411,1406
29-Aug-08,9424,1493
05-Sep-08,9090,1702
12-Sep-08,8907,1448
19-Sep-08,8741,1447
26-Sep-08,8730,1509
03-Oct-08,8691,1418
10-Oct-08,8894,1495
17-Oct-08,9065,1364
24-Oct-08,9057,1349
31-Oct-08,9095,1299
07-Nov-08,9002,1275
14-Nov-08,8962,1239
21-Nov-08,8844,1492
28-Nov-08,8933,1327
05-Dec-08,9015,1270
12-Dec-08,9175,1520
19-Dec-08,8867,1542
26-Dec-08,9106,1282
02-Jan-09,8990,1482
09-Jan-09,8758,1343
16-Jan-09,8641,1316
23-Jan-09,8650,1441
30-Jan-09,9015,1276
06-Feb-09,9006,1212
13-Feb-09,8908,1278
20-Feb-09,9010,1446
27-Feb-09,9204,1287
06-Mar-09,8972,1385
13-Mar-09,8955,1624
20-Mar-09,9100,1527
27-Mar-09,9125,1485
03-Apr-09,9024,1387
10-Apr-09,8944,1381
17-Apr-09,9136,1433
24-Apr-09,9151,1378
01-May-09,8923,1435
08-May-09,8911,1441
15-May-09,9232,1490
22-May-09,9538,1344
29-May-09,9020,1248
05-Jun-09,9141,1290
12-Jun-09,9354,1407
19-Jun-09,9129,1498
26-Jun-09,9053,1308
03-Jul-09,9229,1292
10-Jul-09,9163,1449
17-Jul-09,9255,1381
24-Jul-09,9171,1333
31-Jul-09,9199,1380
07-Aug-09,8951,1457
14-Aug-09,9205,1383
21-Aug-09,9105,1497
28-Aug-09,9478,1418
04-Sep-09,9283,1547
11-Sep-09,9001,1482
18-Sep-09,8790,1358
25-Sep-09,9126,1442
02-Oct-09,9269,1425
09-Oct-09,9256,1416
16-Oct-09,8950,1313
